entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX
10704,1.4366734,12,0.6059374,0.53410774
10705,5.6712446,12,0.6141145,0.52930695
10706,2.2125342,12,0.6433529,0.6433529
10707,1.3408154,12,1.0714437,0.9347376
10708,2.0519817,12,1.111392,1.111392
10709,1.5440476,-12,0.9321299,0.8242776
10710,0.93928546,12,0.14024168,0.56421155
10711,1.4712443,12,0.8511474,0.8511474
10712,1.0970635,12,1.143517,0.9476252
10713,1.2736113,12,0.051471494,0.9281871
10714,0.7277548,12,0.95091724,0.95091724
10715,1.2225397,12,0.7145813,0.7145813
10716,1.9766005,12,0.4988568,0.4988568
10717,1.4486399,12,0.96196204,0.96196204
10718,1.2593687,-12,1.1837044,1.0399237
10719,1.1737902,12,0.86929744,0.86929744
10720,0.69880545,12,0.8864914,0.8864914
10721,2.281005,12,0.7263988,0.7263988
10722,1.4572996,12,0.8985195,0.8985195
10723,0.97336406,12,1.2456617,1.0279301
10724,0.632785,12,1.2861391,1.0655788
10725,0.9527129,12,0.9542857,0.9542857
10726,1.0042084,12,1.3511916,1.1157993
10727,5.8255587,12,0.58671033,0.58671033
10728,1.4226121,12,1.4473128e-16,1.0033135
10729,2.6813047,12,0.629051,0.629051
10730,1.9978877,12,0.4988568,0.4988568
10731,0.9330433,12,1.2146184,1.2146184
10732,5.5770836,12,0.5977548,0.5977548
10733,2.8081915,12,1.9363723,1.4865537
10734,2.295089,12,0.96913296,0.8516604
10735,4.4420104,12,1.6572915,1.6572915
10736,0.9632236,12,1.2570647,1.0199455
10737,1.8232976,12,0.7319148,0.7319148
10738,1.5325131,12,0.9957888,0.9957888
10739,2.4037626,12,0.57227045,0.47862184
10740,0.63452804,12,0.37814495,0.32761505
10741,1.2410423,-12,1.0427384,1.0427384
10742,2.480134,-12,0.6056635,0.6056635
10743,1.1240318,12,1.0431745,1.0431745
10744,0.9373092,12,1.1547006,0.97826296
10745,1.7690425,12,0.6887834,0.6887834
10746,1.6453588,-12,0.051024012,0.8545676
10747,1.3653917,12,1.0447147,0.87791336
10748,5.6100316,12,0.5977548,0.5977548
10749,0.8626164,12,0.98292917,0.98292917
10750,1.5304124,12,1.0476351,1.0476351
10751,1.6171796,-12,0.9366649,0.9366649
10752,1.4550905,12,1.2225186,1.0022506
10753,2.4475882,-12,1.0723078,1.0723078
10754,2.2056139,12,1.3510516,1.0488226
10755,0.7991779,12,1.2491937,1.0893589
10756,2.3408747,12,0.5573326,0.46915528
10757,2.2060268,-12,0.9601137,0.89972377
10758,0.68832314,-12,1.0124428,1.0124428
10759,0.690048,12,0.55355763,0.55355763
10760,2.0482259,12,0.5580385,0.5580385
10761,0.90079033,12,0.75060815,0.52850896
10762,1.2032453,-12,1.045378,1.045378
10763,1.029585,12,1.4008806e-05,1.0325379
10764,1.1619546,-12,1.0374833,1.0374833
10765,0.9346587,12,0.67270666,0.67270666
10766,1.2770554,-12,1.0026324,1.0026324
10767,2.0030634,12,1.2749329,1.2749329
10768,0.56365275,12,1.5776658,0.96391445
10769,0.41483715,12,0.6227117,0.53933305
10770,2.165294,12,0.9522242,0.9492523
10771,2.8354664,12,0.99500525,0.99500525
10772,2.769245,12,1.1604882,1.0384614
10773,1.0333842,-12,0.14797683,0.9829904
10774,1.2060841,-12,0.9681214,0.9681214
10775,1.4946573,12,1.2402793,1.2402793
10776,1.0192314,12,1.1737163,0.99086094
10777,0.5198502,12,0.99234736,0.8912977
10778,3.8646667,12,1.2269801,1.0116894
10779,1.528709,12,0.99343526,0.99343526
10780,1.5900061,12,1.0395002,1.0395002
10781,0.9517176,12,1.2425106,1.0708675
10782,1.5352886,12,0.99949175,0.8542556
10783,1.2523476,-12,0.9933251,0.9933251
10784,0.55915266,-12,0.9954342,1.0243403
10785,2.0254192,12,0.61902744,0.61902744
10786,2.8772018,12,1.5539995,1.2980157
10787,0.86775476,12,0.3596394,0.3596394
10788,0.41170943,12,0.7080311,0.52840954
10789,0.7715348,12,1.8268543,1.6134287
10790,0.83582205,12,1.113534,0.94337547
10791,2.0496442,12,1.3196193,1.0183748
10792,1.6283731,12,1.1555256,1.019671
10793,0.6208641,12,1.0213468,1.0272363
10794,2.1759474,12,0.7153831,0.7153831
10795,0.8776907,12,1.0055488,1.0055488
10796,1.0172776,-12,1.1470937,1.0330305
10797,1.0100938,12,0.58399814,0.5116761
10798,3.0619974,-12,1.1249717,0.92356503
10799,2.1220334,12,1.3295461,1.0737276
10800,1.1207585,12,3.2882957e-07,0.87791336
10801,1.5945191,12,0.58304685,0.58304685
10802,0.87496567,12,1.0009787,0.85675216
10803,2.9683158,12,1.5709103,1.2759149
10804,5.9666743,12,1.0396788,1.0396788
10805,0.87430304,12,0.58127993,0.5507372
10806,1.651861,12,0.9567773,0.9567773
10807,1.7953153,12,0.7706158,0.66740507
10808,0.6694227,-12,1.1388528,0.96786046
10809,1.4509184,-12,9.525649,0.8384374
